date,ES,NQ,ZN
2019-08-09,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-08-12,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-08-13,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-08-15,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-08-21,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-08-23,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-08-28,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-03,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-04,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-05,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-06,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-09,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-10,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-11,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-12,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-13,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-18,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-23,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-24,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-09-25,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-01,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-02,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-03,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-04,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-08,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-09,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-10,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-11,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-16,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-17,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-10-22,0.7173201753889161,-5.33099736805443,4.184744996857731
